iter	Passed	Remaining
813	29267	6687
814	29284	6647
815	29302	6607
816	29320	6567
817	29337	6527
818	29355	6487
819	29376	6448
820	29395	6408
821	29413	6369
822	29431	6329
823	29448	6290
824	29477	6252
825	29517	6217
826	29543	6180
827	29571	6142
828	29604	6106
829	29643	6071
830	29684	6036
831	29737	6004
832	29764	5967
833	29804	5932
834	29872	5902
835	29935	5872
836	29967	5835
837	29994	5798
838	30021	5761
839	30046	5723
840	30074	5685
841	30099	5648
842	30131	5611
843	30163	5575
844	30195	5538
845	30226	5502
846	30244	5463
847	30271	5426
848	30297	5388
849	30330	5352
850	30361	5315
851	30389	5278
852	30409	5240
853	30440	5204
854	30475	5168
855	30514	5133
856	30642	5112
857	30711	5082
858	30766	5050
859	30811	5015
860	30839	4978
861	30879	4943
862	30911	4907
863	30930	4868
864	30959	4831
865	30983	4794
866	31011	4757
867	31048	4721
868	31110	4689
869	31152	4655
870	31187	4619
871	31225	4583
872	31271	4549
873	31308	4513
874	31326	4475
875	31348	4437
876	31376	4400
877	31406	4364
878	31425	4325
879	31453	4289
880	31477	4251
881	31507	4215
882	31526	4177
883	31550	4140
884	31592	4105
885	31640	4071
886	31737	4043
887	31777	4007
888	31812	3972
889	32100	3967
890	32123	3929
891	32186	3897
892	32205	3858
893	32223	3820
894	32241	3782
895	32258	3744
896	32288	3707
897	32320	3671
898	32410	3641
899	32439	3604
900	32464	3567
901	32484	3529
902	32504	3491
903	32528	3454
904	32553	3417
905	32600	3382
906	32623	3345
907	32651	3308
908	32669	3270
909	32698	3233
910	32721	3196
911	32745	3159
912	32766	3122
913	32786	3084
914	32805	3047
915	32843	3011
916	32869	2975
917	32900	2938
918	32923	2901
919	32946	2864
920	32965	2827
921	32985	2790
922	33005	2753
923	33026	2716
924	33046	2679
925	33067	2642
926	33090	2605
927	33109	2568
928	33128	2531
929	33150	2495
930	33170	2458
931	33190	2421
932	33211	2384
933	33232	2348
934	33251	2311
935	33269	2274
936	33288	2238
937	33307	2201
938	33325	2164
939	33344	2128
940	33368	2092
941	33389	2055
942	33417	2019
943	33442	1983
944	33521	1950
945	33571	1916
946	33616	1881
947	33718	1849
948	33773	1815
949	33807	1779
950	33873	1745
951	33905	1709
952	33942	1673
953	33967	1637
954	34047	1604
955	34108	1569
956	34151	1534
957	34214	1500
958	34258	1464
959	34280	1428
960	34300	1392
961	34320	1355
962	34354	1319
963	34382	1283
964	34405	1247
965	34439	1212
966	34466	1176
967	34488	1140
968	34514	1104
969	34539	1068
970	34568	1032
971	34596	996
972	34615	960
973	34638	924
974	34666	888
975	34685	852
976	34714	817
977	34750	781
978	34786	746
979	34815	710
980	34846	674
981	34894	639
982	34931	604
983	34952	568
984	34981	532
985	35006	497
986	35031	461
987	35060	425
988	35080	390
989	35105	354
990	35131	319
991	35157	283
992	35179	247
993	35204	212
994	35229	177
995	35257	141
996	35276	106
997	35304	70
998	35329	35
999	35357	0
